,Discount_Percent,Discount_Price
816,-18%,$ 4.591.918
817,-20%,$ 4.959.920
818,-20%,$ 4.959.920
819,-20%,$ 4.959.920
820,-26%,$ 6.383.900
821,-13%,$ 6.110.900
822,-39%,$ 6.474.300
823,-18%,$ 6.347.900
824,-27%,$ 6.658.300
825,-27%,$ 6.658.300
826,-18%,$ 6.347.900
827,-13%,$ 6.110.900
828,-62%,$ 519.900
829,-21%,$ 359.000
830,-65%,$ 649.900
831,-25%,$ 814.900
832,-49%,$ 806.416
833,-17%,$ 570.000
834,-55%,$ 1.999.900
835,-55%,$ 799.900
836,-22%,$ 6.551.922
837,-24%,$ 460.000
838,-20%,$ 2.805.900
839,-62%,$ 899.900
840,-33%,$ 491.400
841,-50%,$ 319.900
842,-20%,$ 239.900
843,-13%,$ 710.000
844,-21%,$ 629.900
845,-34%,$ 471.900
846,-23%,$ 319.900
847,-34%,$ 471.900
848,-34%,$ 590.900
849,-55%,$ 199.900
850,-40%,$ 2.999.000
851,-40%,$ 709.998
852,-35%,$ 1.199.899
853,-18%,$ 1.299.990
854,-19%,$ 1.359.900
855,-32%,$ 574.900
856,-18%,$ 1.219.000
857,-39%,$ 874.900
858,-29%,$ 189.990
859,-43%,$ 1.019.000
860,-36%,$ 638.900
861,-26%,$ 439.900
862,-26%,$ 439.900
863,-38%,$ 612.990
864,-24%,$ 3.489.900
865,-28%,$ 499.900
866,-24%,$ 439.900
867,-24%,$ 439.900
868,-26%,$ 439.900
869,-26%,$ 439.900
870,-10%,$ 949.780
871,-26%,$ 439.900
872,-24%,$ 439.900
873,-33%,$ 529.900
874,-49%,$ 3.549.900
875,-31%,$ 1.839.630
876,-36%,$ 359.900
877,-18%,$ 4.249.900
878,-20%,$ 899.900
879,-34%,$ 587.900
880,-32%,$ 538.900
881,-34%,$ 1.289.900
882,-38%,$ 569.900
883,-52%,$ 449.900
884,-52%,$ 449.900
885,-50%,$ 399.900
886,-50%,$ 399.900
887,-50%,$ 399.900
888,-50%,$ 399.900
889,-45%,$ 329.900
890,-50%,$ 399.900
891,-56%,$ 349.900
892,-55%,$ 399.900
893,-56%,$ 349.900
894,-55%,$ 399.900
895,-50%,$ 549.900
896,-50%,$ 499.900
897,-40%,$ 669.900
898,-41%,$ 1.029.900
899,-17%,$ 1.049.900
900,-20%,$ 1.350.900
901,-18%,$ 409.900
902,-55%,$ 939.900
903,-35%,$ 576.800
904,-35%,$ 635.000
905,-49%,$ 3.549.900
906,-14%,$ 1.620.000
907,-29%,$ 225.000
908,-17%,$ 910.000
909,-48%,$ 2.799.999
910,-13%,$ 519.872
911,-23%,$ 769.900
912,-12%,$ 610.000
913,-21%,$ 550.000
914,-10%,$ 540.000
915,-24%,$ 250.000
916,-11%,$ 748.900
917,-38%,$ 549.900
918,-13%,$ 519.900
919,-38%,$ 549.900
920,-18%,$ 735.000
921,-14%,$ 590.000
922,-49%,$ 3.549.900
923,-59%,$ 449.900
924,-52%,$ 799.900
925,-53%,$ 599.900
926,-52%,$ 799.900
927,-57%,$ 299.900
928,-62%,$ 299.900
929,-55%,$ 449.900
930,-54%,$ 499.900
931,-53%,$ 2.099.900
932,-55%,$ 799.900
933,-60%,$ 399.900
934,-55%,$ 899.900
935,-58%,$ 499.900
936,-60%,$ 299.900
937,-54%,$ 499.900
938,-63%,$ 399.900
939,-58%,$ 499.900
940,-55%,$ 449.900
941,-63%,$ 399.900
942,-58%,$ 499.900
943,-55%,$ 799.900
944,-54%,$ 999.900
945,-58%,$ 499.900
946,-58%,$ 499.900
947,-63%,$ 399.900
948,-54%,$ 999.900
949,-52%,$ 429.900
950,-53%,$ 749.900
951,-58%,$ 179.900
952,-62%,$ 299.900
953,-62%,$ 299.900
954,-62%,$ 299.900
955,-53%,$ 2.099.900
956,-63%,$ 279.900
957,-60%,$ 399.900
958,-52%,$ 799.900
959,-53%,$ 599.900
960,-63%,$ 399.900
961,-52%,$ 299.900
962,-55%,$ 799.900
963,-55%,$ 159.900
964,-55%,$ 159.900
965,-54%,$ 999.900
966,-38%,$ 369.900
967,-45%,$ 498.000
968,-10%,$ 3.119.000
969,-12%,$ 2.639.000
970,-21%,$ 709.990
971,-37%,$ 2.499.000
972,-21%,$ 709.990
973,-25%,$ 4.499.000
974,-43%,$ 2.099.990
975,-36%,$ 2.154.913
976,-25%,$ 3.426.990
977,-35%,$ 1.819.900
978,-20%,$ 2.159.895
979,-37%,$ 2.499.900
980,-47%,$ 1.499.900
981,-34%,$ 3.199.990
982,-32%,$ 3.399.900
983,-47%,$ 1.499.900
984,-20%,$ 2.629.840
985,-43%,$ 1.985.000
986,-47%,$ 448.110
987,-37%,$ 749.999
988,-36%,$ 3.799.000
989,-36%,$ 639.900
990,-12%,$ 6.098.890
